pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,termlysessionsauthorised,termlysessionsunauthorised,moveonrollflag,missingaddress,summerhalfterm2sessionsauthorised,summerhalfterm2sessionspossible,summerhalfterm2sessionsunauthorised,qualhrs,qualhrspreviousyear,nonqualhrspreviousyear,tlevelqualhrs,tlevelnonqualhrs,nonqualhrs,summerhalfterm2sessionseducational,summerhalfterm2sessionsexceptional,summerhalfterm2sessionscoronavirus,boarder,language,ncyearleaving,mathsgcsehighestpriorattainment,mathsgcsepriorattainmentyear11,englishgcsehighestpriorattainment,englishgcsepriorattainmentyear11,mathsgcsefundingexemption,englishgcsefundingexemption,mathsgcsehighestpriorattainmentpreviousyear,englishgcsehighestpriorattainmentpreviousyear
01080e0c-45b,SCH5,2012-Jan-21 00:00:00,SUR9125,FOR8776,MID6388,PSUR6605,FSUR9602,5ff4489b-998,a3cb1dfc-942,7c93a96f-2,F,2024-Jul-03 00:00:00,2024-Dec-03 00:00:00,1,8140d532,1f49253a,False,132.0,9.0,,283d9c6e,a255d151,8.0,130.0,,834.0,741.0,123.0,752.0,139.0,139.0,,4.0,,,ENG,X,,,,,N,,2,
01dfc5f8-834,SCH2,2019-Jul-03 00:00:00,SUR4855,FOR9474,MID6248,PSUR4029,FSUR6469,feaf306f-955,c57c7ce8-2da,f3f16822-f,M,2023-Oct-18 00:00:00,2024-Dec-07 00:00:00,1,bbb88aae,fc5baf9b,False,125.0,,,d9568c95,0a50a9b7,7.0,123.0,,780.0,812.0,126.0,765.0,123.0,130.0,,,,,ENG,9,,3,,,,,,
0328b124-b96,SCH8,2011-Dec-31 00:00:00,SUR5727,FOR3624,MID3796,PSUR3520,FSUR9685,891b90ee-118,2f3fd102-01d,077b374c-8,M,2024-Mar-04 00:00:00,2024-Nov-16 00:00:00,1,37cce5c6,83b031ab,,123.0,,,f26a4634,d8404e0c,7.0,140.0,3.0,786.0,784.0,130.0,820.0,117.0,129.0,,,,,BEL,5,,1,5,,,,,
036af847-83a,SCH8,2008-Dec-05 00:00:00,SUR7134,FOR9344,MID7183,PSUR8168,FSUR7434,6647404e-915,95993d64-7c2,528024db-9,F,2024-Jul-26 00:00:00,2024-Oct-02 00:00:00,1,71a1a214,0ff1d035,False,128.0,8.0,3.0,490bdf14,769ac4c2,8.0,132.0,,747.0,753.0,130.0,782.0,125.0,138.0,,,,,ENG,3,,,,,,,,
0692560f-4c8,SCH6,2019-Nov-12 00:00:00,SUR8713,FOR2977,MID1522,PSUR1059,FSUR1044,a3602bb0-301,dc5636ed-45f,60c430ae-0,M,2024-May-12 00:00:00,2024-Dec-06 00:00:00,1,29d9d02b,b314eec7,False,135.0,8.0,,561125e5,ba05b0e8,7.0,126.0,,729.0,754.0,132.0,783.0,131.0,130.0,,3.0,,,PNJA,R,5,1,,,,,,
06d15343-253,SCH2,2011-Sep-07 00:00:00,SUR8856,FOR6079,MID8484,PSUR2748,FSUR1141,20953336-771,77446454-412,7eef324f-f,M,2023-Jul-28 00:00:00,2024-Sep-03 00:00:00,1,cb1df8d8,61532ed6,False,132.0,,,3da560a0,5f08694a,8.0,134.0,4.0,796.0,803.0,126.0,765.0,126.0,124.0,,,3.0,,ENG,E2,,,,,,,,
074ac27e-041,SCH3,2018-Aug-09 00:00:00,SUR1087,FOR8910,MID9961,PSUR2775,FSUR8442,9b537574-b61,d4516ce9-126,10d5559c-5,F,2024-Jun-03 00:00:00,2024-Oct-28 00:00:00,1,6a9c6bac,88a75291,False,129.0,8.0,,fd35641e,0c15ac70,8.0,129.0,,766.0,804.0,127.0,783.0,143.0,133.0,,2.0,,,GER,10,,1,B,,,,,
07988c39-7b6,SCH6,2014-Jul-12 00:00:00,SUR5394,FOR5881,MID1560,PSUR6566,FSUR6054,3a8bc56b-ed9,85c9b5ef-961,ec573cf5-7,F,2023-May-28 00:00:00,2024-Sep-13 00:00:00,1,15087d4c,c693016f,False,120.0,8.0,,43e02b78,418b113f,8.0,133.0,2.0,791.0,736.0,131.0,828.0,132.0,122.0,,,2.0,,ENG,8,5,,,,,,,
0903e6de-706,SCH5,2015-Mar-24 00:00:00,SUR1715,FOR3809,MID1856,PSUR5629,FSUR9409,62b142f3-6ae,6ca60ceb-99f,877ab235-5,M,2024-Feb-06 00:00:00,2024-Sep-30 00:00:00,1,f53547ae,f8b06dd1,False,127.0,8.0,,630e34b7,e986945e,8.0,130.0,3.0,766.0,778.0,138.0,801.0,131.0,124.0,,,,N,ENG,11,,,,,,,9,
096a33fd-3c4,SCH6,2020-Apr-01 00:00:00,SUR8932,FOR5941,MID6689,PSUR6548,FSUR4179,50ab6877-972,8f714f41-3b3,c1a84d27-4,F,2023-Jul-15 00:00:00,2024-Sep-29 00:00:00,1,4f873fb9,d797af75,False,133.0,7.0,,f4a2b1ec,7022f3a7,,138.0,,,836.0,139.0,821.0,128.0,134.0,3.0,,,,ENG,5,7,1,,,,,,8
