pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,termlysessionspossible,termlysessionsauthorised,termlysessionsunauthorised,senunitindicator,resourcedprovisionindicator,nonqualhrs,ftemp,qualhrs,qualhrspreviousyear,nonqualhrspreviousyear,tlevelqualhrs,tlevelnonqualhrs,moveoffrollflag,fundedhours,missingaddress,duplicatenotfunded,summerhalfterm2sessionspossible,extendedhours,eligibilitycode,summerhalfterm2sessionsauthorised,summerhalfterm2sessionsunauthorised,dafindicator,summerhalfterm2sessionseducational,summerhalfterm2sessionsexceptional,summerhalfterm2sessionscoronavirus,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,mathsgcsehighestpriorattainment,mathsgcsepriorattainmentyear11,englishgcsehighestpriorattainment,englishgcsepriorattainmentyear11,mathsgcsefundingexemption,englishgcsefundingexemption,mathsgcsehighestpriorattainmentpreviousyear,englishgcsehighestpriorattainmentpreviousyear,eyppr,eyppbf
0002e817-8ca,SCH7,2020-Apr-25 00:00:00,SUR6864,FOR9344,MID1173,PSUR7755,FSUR3634,21db2df8-fa0,df30b685-367,0ec98ce2-5,M,2023-Feb-03 00:00:00,1,e2063384,ca32cfc1,770.0,True,False,True,134.0,8.0,2.0,False,False,123.0,False,745.0,815.0,130.0,774.0,136.0,3787f713,,4ba8b5fe,8132180a,119.0,,,9.0,,,,,,,N,ENG,,O,,A,K,N1,,,,1,,,,,,
001cd0b1-3d1,SCH5,2013-Jul-19 00:00:00,SUR1216,FOR3229,MID9633,PSUR1865,FSUR5813,96d8f22c-e5c,8e15479f-af9,4290f189-4,M,2023-May-09 00:00:00,1,9d229066,c029f235,742.0,True,False,True,,7.0,,False,False,133.0,False,769.0,793.0,126.0,762.0,132.0,1ab4ef7e,,7d5e3016,fd9ec611,133.0,,,8.0,2.0,,,3.0,,,,ENG,,S,,R,E,N2,,1,6,,U,,,,,
001e7b6b-4f5,SCH4,2013-Jul-05 00:00:00,SUR2341,FOR8017,MID4895,PSUR6533,FSUR4643,c2b87d3d-e33,9258ad10-60e,ec8b56e8-f,F,2021-Jul-25 00:00:00,1,d701bde2,62cb29cd,835.0,,False,False,133.0,,,False,False,128.0,False,773.0,802.0,132.0,779.0,128.0,0be52eed,,90051b5c,4b4c6d8e,122.0,,,8.0,3.0,,,,4.0,"Sought, no reply",U,ENG,O,M,,A,,,,,U,2,O,,,5,,RO
002c252a-dd6,SCH8,2016-Feb-02 00:00:00,SUR6465,FOR6468,MID7063,PSUR7804,FSUR1042,f27bb1ed-e2a,8e6215e2-532,7b77ab66-1,F,2023-Sep-12 00:00:00,1,56cf728e,413e16aa,776.0,True,False,False,120.0,9.0,,,,133.0,False,753.0,746.0,133.0,803.0,128.0,6fc68c2f,,968399ef,38129751,128.0,,,8.0,3.0,,,4.0,,,,ENG,,,,,,14,,,A*,,,,NR,,,
00389221-b4e,SCH6,2016-Jul-01 00:00:00,SUR3692,FOR3277,MID4788,PSUR5681,FSUR1331,6294eb68-85b,aa4d49ac-bbc,4c96e51d-d,F,2021-Sep-15 00:00:00,1,b1841a22,3bdc3111,856.0,False,,False,134.0,9.0,,,False,130.0,False,842.0,785.0,126.0,793.0,134.0,94c8792c,,2b2689c3,7ecef1b3,128.0,,,9.0,,,3.0,3.0,4.0,Yes,,ENG,,,,,,1,,,,,,,,,,
003aa1bb-f6b,SCH2,2017-Apr-14 00:00:00,SUR7984,FOR6483,MID4127,PSUR9292,FSUR1843,a1b29da7-e86,fb4f76da-5f1,8dbb6627-b,M,2022-Mar-31 00:00:00,1,8adf6275,c317f3e6,836.0,True,False,False,120.0,,3.0,,False,121.0,False,792.0,796.0,125.0,738.0,139.0,791bcfd6,,bdb8931a,0a8d6eb7,137.0,,,7.0,,,,,,,,ENG,,,,,N,5,,,,,,,D,,,
004fcd28-df6,SCH1,2011-Jan-04 00:00:00,SUR4093,FOR7989,MID4794,PSUR1369,FSUR8645,270e39fb-d99,79be4751-c7a,72d8334e-b,M,2024-Jul-29 00:00:00,1,01e48b77,14dad103,800.0,True,False,False,131.0,8.0,,False,,128.0,,737.0,784.0,138.0,841.0,129.0,7cc5279b,,6f3c9705,7d007fdf,132.0,,,7.0,3.0,,,,3.0,,R,ENG,,,,,,N2,A*,,,,N,,,,,
0058974f-905,SCH4,2018-Nov-11 00:00:00,SUR8164,FOR1777,MID7301,PSUR2537,FSUR3468,d6ad48b6-ec0,47815be3-3a8,ae49891d-7,M,2022-Oct-16 00:00:00,1,9c7937ab,580e918a,805.0,True,False,True,124.0,,,,True,131.0,False,,770.0,139.0,770.0,135.0,708f93b2,,9d746944,8ec9a208,124.0,,8.0,7.0,,,,,,,N,,,,,,,E2,,1,,,,,A*,,No,
0068613a-fcf,SCH7,2011-Dec-24 00:00:00,SUR2689,FOR1234,MID5079,PSUR9341,FSUR6393,08814da3-530,230829ac-6dc,22961961-b,F,2024-Dec-02 00:00:00,1,aad18ec8,0d1d6a7c,752.0,True,False,False,134.0,7.0,,False,False,138.0,False,741.0,777.0,125.0,768.0,129.0,442fa871,,c6c3940c,90666b1b,124.0,,,,,,,,3.0,,,ENG,,S,,C,,R,,,,,L,,D,,,
006a8cdc-33d,SCH5,2014-Jul-22 00:00:00,SUR4492,FOR6324,MID6592,PSUR7615,FSUR1186,d114e5d5-4dd,53b3d728-536,a001bcc9-d,M,2021-Jul-25 00:00:00,1,989bd84b,c2fa6eb4,781.0,True,True,True,126.0,7.0,,False,,128.0,False,745.0,762.0,132.0,865.0,132.0,92345dab,,259f6bf0,c9f460d1,132.0,,,8.0,,,,,,,N,ENG,,F,,,E,E1,,,,2,,,,,,
006db8dd-913,SCH5,2008-Mar-30 00:00:00,SUR4562,FOR2545,MID2686,PSUR5850,FSUR8207,0881f708-9cb,6f5f9777-e63,a9ed8af9-9,F,2020-Feb-15 00:00:00,1,226513ea,27846093,812.0,True,False,True,122.0,8.0,3.0,False,False,127.0,False,806.0,738.0,141.0,728.0,126.0,5b2e65b6,,f1b656de,e0d6db87,135.0,,,7.0,,,,,3.0,,Y,BNG,,S,,C,,14,,,,,,,,F,,RB
00737891-2c8,SCH3,2011-May-13 00:00:00,SUR1147,FOR5656,MID5971,PSUR4845,FSUR3715,e75d94fc-b42,79906e99-555,34604938-6,M,2021-Jan-28 00:00:00,1,490d57e8,108624fb,776.0,True,False,False,125.0,7.0,,,False,128.0,False,786.0,,131.0,757.0,132.0,249f1dcd,,463043ee,0fae799f,131.0,,,8.0,3.0,,,,,No,R,ENG,,C,N,,,2,9,,,,,N,,E,,
007a60d5-079,SCH1,2014-Jan-01 00:00:00,SUR9778,FOR4089,MID8830,PSUR2016,FSUR1512,9ff92229-3be,26315171-b02,d95a2e3c-4,F,2019-Jun-20 00:00:00,1,62d16288,707351de,762.0,True,True,True,128.0,7.0,,True,False,128.0,False,751.0,761.0,120.0,798.0,128.0,75636dd5,7.0,17bf28ae,9b45050e,123.0,,,8.0,,,,3.0,,,R,ENG,,,,G,S,R,,,,,,,,,,
007a7429-53f,SCH1,2018-May-28 00:00:00,SUR9636,FOR2126,MID5028,PSUR3622,FSUR9084,c91fd374-4a5,49eea5a6-c6b,d6157870-4,F,2023-May-28 00:00:00,1,ace997fa,5f39b9fe,759.0,False,False,,123.0,,4.0,True,False,129.0,False,835.0,740.0,128.0,803.0,126.0,f9327aa1,,0cb16e4c,81d9aaf0,132.0,,,10.0,,,,,,,,CYM,,F,,,,7,F,,,,,,,7,,
007ce401-b14,SCH1,2008-Dec-29 00:00:00,SUR9774,FOR6850,MID6175,PSUR6959,FSUR8558,f5075b65-b9f,5c87f286-c7f,c9cadd46-e,F,2022-Oct-30 00:00:00,1,1b6182b3,e347e6e1,770.0,True,True,False,131.0,8.0,,False,False,130.0,False,767.0,757.0,128.0,817.0,125.0,303ca8f2,,75e395c7,5bb3f4fe,138.0,,,9.0,3.0,,,,,,Y,ENG,,,,C,S,M,,1,C,,F,,,,,
0080a909-ddc,SCH2,2008-Mar-30 00:00:00,SUR9534,FOR3968,MID2671,PSUR5343,FSUR6017,b0d0891c-fb6,2214e3ca-c23,c6df3d8a-4,F,2019-May-18 00:00:00,1,467c8e5f,b26fdcf3,810.0,False,False,,134.0,8.0,3.0,False,False,127.0,False,772.0,833.0,127.0,777.0,127.0,ed3057c9,,f86bffd8,56fefb59,125.0,,,,,,,,2.0,,,ENG,,S,,G,,8,,,,,F,,B,,,
00861282-259,SCH6,2010-Dec-08 00:00:00,SUR5357,FOR5165,MID4641,PSUR4270,FSUR7409,81bd6ef2-dbf,fa795f94-147,875887b6-c,F,2020-Apr-28 00:00:00,1,f718682c,5ee41195,795.0,,False,True,130.0,8.0,,False,False,137.0,False,826.0,759.0,130.0,748.0,135.0,e88de7f3,,869ee107,3d381913,141.0,,,8.0,,False,,,4.0,,,ENG,,S,,,,3,,,,,,,,,,
008e6441-aa0,SCH8,2012-Apr-27 00:00:00,SUR9354,FOR8704,MID3807,PSUR8660,FSUR5096,50e9098a-fed,809f66a9-65b,c081484b-1,F,2024-Aug-15 00:00:00,1,34fb7b99,11618d0b,764.0,True,False,False,124.0,8.0,,False,False,130.0,False,816.0,746.0,127.0,729.0,119.0,9b3eac09,,00724755,bed67a53,132.0,,,,3.0,,,3.0,,"Sought, no reply",,ENG,,F,N,G,,6,,,,,,,,,,
0096e98c-b69,SCH5,2014-Sep-17 00:00:00,SUR1682,FOR2831,MID5809,PSUR2410,FSUR3954,5d6d6153-a38,4ad51444-3da,b51c195d-f,M,2022-Nov-10 00:00:00,1,a28a4cea,a28fe0f8,794.0,True,False,False,137.0,8.0,,False,False,127.0,False,802.0,782.0,135.0,784.0,132.0,c48127de,,6c813844,08efe311,123.0,,,8.0,,False,,,,,,GER,,C,,,,14,,,,,N,,,,,
00a2895e-7c0,SCH5,2018-Sep-01 00:00:00,SUR6500,FOR7086,MID3648,PSUR3716,FSUR3438,35dc23aa-d6c,6bcf8e0d-c34,dd87f52c-b,M,2020-Aug-21 00:00:00,1,3fb83658,6d5413bf,,True,False,False,131.0,8.0,3.0,False,False,134.0,False,762.0,818.0,137.0,802.0,119.0,e0e14ade,,ca224de6,b7656312,126.0,,,8.0,2.0,,,,,,,GAL,,M,,,,14,,,,,,,9,,,
00b47c69-f0d,SCH1,2014-May-17 00:00:00,SUR8013,FOR6205,MID7503,PSUR7206,FSUR2790,1859775d-295,27e210c1-ee0,d94c39b0-1,M,2023-Sep-02 00:00:00,1,62e39482,e79ae23e,763.0,True,False,False,129.0,8.0,3.0,False,False,129.0,False,808.0,800.0,136.0,763.0,130.0,972ddd81,,83a4b216,b52f7ade,132.0,,,7.0,,False,,,,No,,ENG,,,,,K,10,,,,,,,,,,
00c46b1f-986,SCH7,2017-Sep-20 00:00:00,SUR8999,FOR7193,MID6671,PSUR5614,FSUR2243,817ab353-581,9d69fece-d35,07e43eaa-4,M,2024-Apr-05 00:00:00,1,a1b89a0e,4e56a59b,756.0,True,False,False,122.0,8.0,3.0,False,False,125.0,False,811.0,787.0,138.0,,133.0,61cb09fc,,b37820b1,b178639a,130.0,,,8.0,,,,,,Unsought,,ENG,O,,,,,M,,,8,,U,,,,No,
00c57c03-6d2,SCH3,2007-Dec-12 00:00:00,SUR4424,FOR3026,MID6722,PSUR6028,FSUR8027,44542c20-ac1,d8d852ec-1be,9c2654f7-8,F,2022-Jun-23 00:00:00,1,d314677d,f1b28ab6,755.0,True,,,130.0,9.0,,False,False,123.0,False,776.0,772.0,134.0,784.0,133.0,027184e2,,49aa2fe0,23b7e5f1,126.0,,,8.0,3.0,,3.0,,,,,,,O,,A,,7,4,,,,F,,,,,
00d48d88-6ca,SCH3,2007-Oct-01 00:00:00,SUR8562,FOR1714,MID2293,PSUR1568,FSUR8990,ba229652-420,90fae5f7-28c,f70c547e-c,M,2022-May-25 00:00:00,1,05459979,fd3cb7de,774.0,False,False,False,125.0,8.0,3.0,,False,132.0,False,793.0,778.0,136.0,798.0,131.0,03ae4ba2,,c08c88be,4d6db12e,129.0,,,8.0,,,,,,,,ENG,,M,,R,,2,,,,,,,,,,
