pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,moveonrollflag,ethnicity,boarder,language
00e9397d-27e,SCH7,2020-Apr-19 00:00:00,SUR3858,FOR3634,MID5723,PSUR5592,FSUR2551,cbd0f54b-6c4,398dea22-6ed,596dae32-0,F,2021-Sep-14 00:00:00,2025-Mar-03 00:00:00,1,ee673cf2,e758f4d8,False,139.0,9240ca59,REFU,,ENG
0134a3c5-4bc,SCH6,2011-Apr-17 00:00:00,SUR9677,FOR5026,MID7251,PSUR9104,FSUR1907,d584af05-179,6a791ac8-6fe,aca9f715-9,M,2025-Jan-01 00:00:00,2025-Apr-02 00:00:00,1,7c91fe1a,96de6059,,129.0,00de21aa,OAFG,,ENG
015a50c2-e95,SCH6,2007-Oct-05 00:00:00,SUR6730,FOR8456,MID5767,PSUR9128,FSUR6752,07a48c66-887,2c79bbc5-5aa,79a04124-6,F,2024-Aug-06 00:00:00,2025-Jan-19 00:00:00,1,a3026342,d29113bc,False,125.0,a0e40e81,WSER,7,ENG
03d32e11-910,SCH5,2018-Nov-15 00:00:00,SUR7158,FOR5224,MID4917,PSUR5041,FSUR2521,bb9f309e-1bb,c58e7b39-e34,2639e13e-d,M,2023-Jun-19 00:00:00,2025-Feb-24 00:00:00,1,36b4cd3a,b1494ee3,False,128.0,9302eb28,MWBA,,TRI
04051d11-e3f,SCH2,2017-Dec-26 00:00:00,SUR1559,FOR9203,MID1531,PSUR4834,FSUR4435,268e7c25-e6d,c520aad0-62d,7158ad17-5,M,2024-Jul-08 00:00:00,2025-Feb-26 00:00:00,1,7050ab60,3432f49e,False,133.0,b614a9b9,ASRO,,ENG
0418c456-17a,SCH5,2018-Aug-19 00:00:00,SUR9940,FOR8747,MID1100,PSUR2625,FSUR3364,ad8e571f-f8e,c174fbd7-a4b,8ab0aabe-e,M,2020-Dec-19 00:00:00,2025-Jan-21 00:00:00,1,b342cee7,0e404de8,True,132.0,8b3f7373,OFIL,,CYM
043bd800-c91,SCH4,2015-Jan-13 00:00:00,SUR8605,FOR8923,MID6737,PSUR9790,FSUR4628,4ae082d9-faf,741b00c2-e86,3ecb4e37-c,M,2022-Nov-01 00:00:00,2025-Mar-03 00:00:00,1,5be0d214,fc9558bb,False,126.0,05e98582,APKN,,ENG
075e60a1-951,SCH2,2013-May-06 00:00:00,SUR2978,FOR6136,MID5777,PSUR2105,FSUR5909,1d07c5ab-249,74394d72-57e,f6f346d9-b,M,2024-Nov-10 00:00:00,2025-Feb-14 00:00:00,1,d9f0a043,90b90079,False,139.0,1563c1e1,OOTH,,ENG
08783fe7-374,SCH3,2016-Dec-21 00:00:00,SUR9308,FOR3628,MID7684,PSUR3200,FSUR8012,ec5d32c0-fa1,0c998b79-673,e6b3dea0-f,M,2020-Jan-07 00:00:00,2025-Mar-06 00:00:00,1,436274e1,786ac637,False,128.0,8b415a58,BSLN,,ENG
08db36e8-ce1,SCH4,2017-Dec-30 00:00:00,SUR2684,FOR1394,MID6281,PSUR6265,FSUR4639,05f8438e-df6,e9d11bae-2f0,c41b4732-f,F,2023-Sep-10 00:00:00,2025-Feb-25 00:00:00,1,8f49b92c,7968d651,False,143.0,8e42e456,,,
0903e6de-706,SCH3,2015-Mar-24 00:00:00,SUR1715,FOR3809,MID1856,PSUR5629,FSUR9409,62b142f3-6ae,6ca60ceb-99f,877ab235-5,M,2024-Oct-01 00:00:00,2025-Apr-03 00:00:00,1,4eaabc61,073e5150,False,132.0,5fc98d1f,WCOR,,GER
09603da9-929,SCH1,2011-Dec-17 00:00:00,SUR2748,FOR1809,MID4120,PSUR4161,FSUR4617,07abe4fb-16f,190eec02-995,637ad487-e,M,2022-Nov-22 00:00:00,2025-Feb-16 00:00:00,1,dfdf7db3,6096e140,False,120.0,9facafcf,WOWB,N,CYM
096615d5-09f,SCH7,2011-Mar-12 00:00:00,SUR9463,FOR7790,MID1640,PSUR3658,FSUR4972,a291add8-122,81cff00c-1bf,56dcb083-2,F,2024-Aug-13 00:00:00,2025-Mar-29 00:00:00,1,3eef362a,b7974eca,False,134.0,f2e419e6,WROM,,GER
096a33fd-3c4,SCH8,2020-Apr-01 00:00:00,SUR8932,FOR5941,MID6689,PSUR6548,FSUR4179,50ab6877-972,8f714f41-3b3,c1a84d27-4,F,2024-Sep-30 00:00:00,2025-Jan-25 00:00:00,1,539cbcb3,2252f98a,False,129.0,39ebdd1b,MOTM,,ENG
