pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,unitcontacttime,termlysessionspossible,senunitindicator,resourcedprovisionindicator,moveoffrollflag,fundedhours,missingaddress,duplicatenotfunded,extendedhours,eligibilitycode,dafindicator,ethnicity,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,eyppr,eyppbf,youngcarer
0002e817-8ca,SCH7,2020-Apr-25 00:00:00,SUR6864,FOR9344,MID1173,PSUR7755,FSUR3634,21db2df8-fa0,df30b685-367,0ec98ce2-5,M,2023-Feb-03 00:00:00,1,f50bf7cf,348ce0cb,785.0,True,False,False,,136.0,False,False,3401fed9,,d1c9f833,2ef81979,,,,ANEP,,,CYM,O,M,,R,E,1,,,
001cd0b1-3d1,SCH5,2013-Jul-19 00:00:00,SUR1216,FOR3229,MID9633,PSUR1865,FSUR5813,96d8f22c-e5c,8e15479f-af9,4290f189-4,M,2023-May-09 00:00:00,1,b7b60766,ef75951f,742.0,True,False,False,,,False,False,7c71ea47,,cb25c7b0,203c8874,,10.0,False,WOTH,Yes,,ENG,,F,,N,A,E1,,,
001e7b6b-4f5,SCH4,2013-Jul-05 00:00:00,SUR2341,FOR8017,MID4895,PSUR6533,FSUR4643,c2b87d3d-e33,9258ad10-60e,ec8b56e8-f,F,2021-Jul-25 00:00:00,1,55b2d75a,7997eca4,765.0,True,False,False,,133.0,False,False,53a40ce8,,1f3f0b84,b192602c,,,,NOBT,,,ENG,,M,,,,9,,,
002c252a-dd6,SCH8,2016-Feb-02 00:00:00,SUR6465,FOR6468,MID7063,PSUR7804,FSUR1042,f27bb1ed-e2a,8e6215e2-532,7b77ab66-1,F,2023-Sep-12 00:00:00,1,f8daba2b,f0ca3854,782.0,True,False,False,,129.0,,False,1c16253c,,905e77f1,b941f51d,,,,MBOE,"Sought, no reply",,ENG,,,,R,S,10,,,
00389221-b4e,SCH6,2016-Jul-01 00:00:00,SUR3692,FOR3277,MID4788,PSUR5681,FSUR1331,6294eb68-85b,aa4d49ac-bbc,4c96e51d-d,F,2021-Sep-15 00:00:00,1,4f1ea830,b05df078,799.0,True,False,False,,130.0,True,False,60bce65b,,8db65c80,375408ae,,,False,MCOE,,,PNJA,,F,,C,,R,,,
003aa1bb-f6b,SCH2,2017-Apr-14 00:00:00,SUR7984,FOR6483,MID4127,PSUR9292,FSUR1843,a1b29da7-e86,fb4f76da-5f1,8dbb6627-b,M,2022-Mar-31 00:00:00,1,7ea05b11,f199e7e0,780.0,True,False,False,,125.0,True,False,62f4eb7a,,9a78f2b0,cb8a0eae,,,,OLEB,"Sought, no reply",,ENG,,,,,,14,,,
004fcd28-df6,SCH1,2011-Jan-04 00:00:00,SUR4093,FOR7989,MID4794,PSUR1369,FSUR8645,270e39fb-d99,79be4751-c7a,72d8334e-b,M,2024-Jul-29 00:00:00,1,d7877e3d,f5ace81d,801.0,True,False,False,,128.0,False,False,4dd06b53,,89e5584f,2d77f678,,,True,WOTH,,,ENG,,C,,,E,X,Yes,,
0058974f-905,SCH4,2018-Nov-11 00:00:00,SUR8164,FOR1777,MID7301,PSUR2537,FSUR3468,d6ad48b6-ec0,47815be3-3a8,ae49891d-7,M,2022-Oct-16 00:00:00,1,453a56f4,0afa949d,788.0,,,True,,128.0,True,False,8289002a,,761e5f04,0a227442,,,False,BNAM,,N,BEL,,S,,A,P,14,,,
0068613a-fcf,SCH7,2011-Dec-24 00:00:00,SUR2689,FOR1234,MID5079,PSUR9341,FSUR6393,08814da3-530,230829ac-6dc,22961961-b,F,2024-Dec-02 00:00:00,1,3d5ac3f1,20e16a86,741.0,True,False,,11.0,124.0,True,False,2432ec3c,,3c9a541b,30e8c42b,,,,MACH,"Sought, no reply",,GAL,,,,R,,5,,,
006a8cdc-33d,SCH5,2014-Jul-22 00:00:00,SUR4492,FOR6324,MID6592,PSUR7615,FSUR1186,d114e5d5-4dd,53b3d728-536,a001bcc9-d,M,2021-Jul-25 00:00:00,1,88889b4a,77029295,753.0,False,False,False,,133.0,False,False,a1beacb9,7.0,5849b2a0,8d3af1d6,,,,BGHA,No,,ENG,O,,6,,A,7,,,
