pupilnolongeronrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,leavingdate,pupilnolongeronrollorderseqcolumn,sourceid,schoolcensustableid,parttime,termlysessionspossible,moveonrollflag,boarder,language
019cfc62-962,SCH8,2009-Jun-30 00:00:00,SUR4620,FOR8191,MID7078,PSUR6841,FSUR9201,ae1fe244-58c,df34da76-c66,004d06f7-f,M,2025-Apr-16 00:00:00,2025-Jul-07 00:00:00,1,9470a5f6,8ab3fae0,True,129.0,56bc3bc7,,ENG
01dfc5f8-834,SCH4,2019-Jul-03 00:00:00,SUR4855,FOR9474,MID6248,PSUR4029,FSUR6469,feaf306f-955,c57c7ce8-2da,f3f16822-f,M,2024-Dec-08 00:00:00,2025-Jul-08 00:00:00,1,7cc47afb,9575b62d,True,,90661c78,,ENG
026cc4d1-17a,SCH6,2017-Jan-09 00:00:00,SUR1408,FOR6344,MID7729,PSUR4630,FSUR3150,02842e32-625,4f578f1f-f67,e68a6ca4-3,F,2025-Apr-19 00:00:00,2025-Jul-04 00:00:00,1,71f9e31e,e3797106,False,130.0,9e75bac1,,GER
02ba1dc3-fdb,SCH8,2012-Sep-26 00:00:00,SUR6925,FOR7719,MID4931,PSUR6990,FSUR7926,c500cb9e-4c7,6e0b3f4c-511,f475d2b5-f,M,2025-Apr-12 00:00:00,2025-Apr-30 00:00:00,1,4ae7f3e0,e5747fc8,False,115.0,29cf10cb,,ENG
04aa087a-56b,SCH2,2016-Mar-29 00:00:00,SUR9805,FOR1836,MID9782,PSUR6511,FSUR2228,38e8091e-80a,f1941de8-a7d,5bb8c7cb-b,M,2024-Jun-07 00:00:00,2025-May-03 00:00:00,1,34bb6125,406c0ef0,False,128.0,27e2da43,N,ENG
04e4179f-966,SCH8,2017-Jun-21 00:00:00,SUR1030,FOR4047,MID1853,PSUR6598,FSUR2694,9235bacd-ce5,fb09ade5-496,24b5de2b-d,F,2019-Sep-15 00:00:00,2025-May-23 00:00:00,1,42856fad,b69b4fd1,False,127.0,bc7fb1c2,,ENG
04e43d34-d9f,SCH2,2012-Sep-26 00:00:00,SUR8855,FOR1933,MID6743,PSUR8652,FSUR4608,e6f4d38a-d09,809c69b9-813,19ae75f8-4,F,2024-Nov-22 00:00:00,2025-Jun-01 00:00:00,1,4cf7d58b,d87e7486,False,134.0,3b4b2181,,ENG
051dc393-f88,SCH8,2010-Nov-12 00:00:00,SUR2617,FOR5401,MID9505,PSUR5751,FSUR2075,9487c9bb-a58,bdb8d16d-e5a,a568e773-1,M,2020-Jan-17 00:00:00,2025-Apr-30 00:00:00,1,b24eeceb,1d2844e0,False,126.0,381b34f8,,ENG
051dc393-f88,SCH6,2010-Nov-12 00:00:00,SUR2617,FOR5401,MID9505,PSUR5751,FSUR2075,9487c9bb-a58,bdb8d16d-e5a,a568e773-1,M,2025-May-01 00:00:00,2025-Jul-04 00:00:00,2,64f55ddf,af339943,True,124.0,f08a908e,,CYM
059fa684-b63,SCH5,2011-Aug-18 00:00:00,SUR6411,FOR8469,MID6732,PSUR8095,FSUR4578,1af377c5-44d,e91d6cb5-7ff,0861ff40-6,F,2025-Jan-09 00:00:00,2025-May-10 00:00:00,1,72d3ea4c,b59a1a05,True,123.0,4f5bae1f,B,ENG
