pupilonrolltableid,NativeId,dob,surname,forename,middlenames,preferredsurname,formersurname,upn,formerupn,uniquelearnernumber,sex,entrydate,pupilonrollorderseqcolumn,sourceid,schoolcensustableid,hoursatsetting,schoollunchtaken,parttime,topupfunding,termlysessionspossible,senunitindicator,resourcedprovisionindicator,moveoffrollflag,fundedhours,missingaddress,extendedhours,eligibilitycode,dafindicator,yssa,servicechild,language,classtype,enrolstatus,boarder,plaa,senprovision,ncyearactual,eyppr,eyppbf,expandedhours
0002e817-8ca,SCH7,2020-Apr-25 00:00:00,SUR6864,FOR9344,MID1173,PSUR7755,FSUR3634,21db2df8-fa0,df30b685-367,0ec98ce2-5,M,2023-Feb-03 00:00:00,1,874225a6,ebfcddcb,796.0,True,True,False,126.0,True,False,b3d050d1,,51b6161d,,,,,,,N,C,,C,N,11,,RB,
001cd0b1-3d1,SCH5,2013-Jul-19 00:00:00,SUR1216,FOR3229,MID9633,PSUR1865,FSUR5813,96d8f22c-e5c,8e15479f-af9,4290f189-4,M,2023-May-09 00:00:00,1,89abc551,f39f3ffb,754.0,True,False,False,137.0,False,False,5d9e0c3a,,981e073a,,,,,,ENG,,,,N,,4,,RE,
001e7b6b-4f5,SCH4,2013-Jul-05 00:00:00,SUR2341,FOR8017,MID4895,PSUR6533,FSUR4643,c2b87d3d-e33,9258ad10-60e,ec8b56e8-f,F,2021-Jul-25 00:00:00,1,3ecd4bbc,fc5fe1d9,797.0,False,,False,126.0,False,False,747bfda8,,4b2816b5,,,,Unsought,N,CYM,,,N,C,,9,,,
002c252a-dd6,SCH8,2016-Feb-02 00:00:00,SUR6465,FOR6468,MID7063,PSUR7804,FSUR1042,f27bb1ed-e2a,8e6215e2-532,7b77ab66-1,F,2023-Sep-12 00:00:00,1,b2d81f1e,7d22421c,808.0,True,False,False,127.0,False,False,1c59d759,,17334b6c,,,False,Unsought,R,ENG,,C,,A,K,E2,,,
00389221-b4e,SCH6,2016-Jul-01 00:00:00,SUR3692,FOR3277,MID4788,PSUR5681,FSUR1331,6294eb68-85b,aa4d49ac-bbc,4c96e51d-d,F,2021-Sep-15 00:00:00,1,f01b60ca,8a7ab08b,834.0,True,,False,132.0,False,False,218fea47,,f1726e39,,,,,,ENG,N,S,,,N,8,,,
003aa1bb-f6b,SCH2,2017-Apr-14 00:00:00,SUR7984,FOR6483,MID4127,PSUR9292,FSUR1843,a1b29da7-e86,fb4f76da-5f1,8dbb6627-b,M,2022-Mar-31 00:00:00,1,857fb5a5,41fdabdd,754.0,False,True,False,126.0,True,False,8f82c2e0,,f54863a2,,,,,,GAL,,,,G,,E1,,,
004e63d6-f12,SCH3,2010-Mar-06 00:00:00,SUR7514,FOR7991,MID8856,PSUR4237,FSUR9161,b04a4829-f07,80674cd1-8ce,0535d663-1,M,2025-Jun-22 00:00:00,1,ea1dcb81,9529d3dc,809.0,True,True,,121.0,False,False,d89b510d,,5e790ce4,,,,,R,,,,,,E,11,,,
004fcd28-df6,SCH1,2011-Jan-04 00:00:00,SUR4093,FOR7989,MID4794,PSUR1369,FSUR8645,270e39fb-d99,79be4751-c7a,72d8334e-b,M,2024-Jul-29 00:00:00,1,434d3c5d,461a9350,810.0,False,True,False,126.0,True,False,a503bbda,,bd8b6ed4,,,,,,UKR,,,,R,S,5,,,
0058974f-905,SCH4,2018-Nov-11 00:00:00,SUR8164,FOR1777,MID7301,PSUR2537,FSUR3468,d6ad48b6-ec0,47815be3-3a8,ae49891d-7,M,2022-Oct-16 00:00:00,1,6276c6a6,89d7078a,828.0,True,False,False,122.0,True,True,5bb0d972,,1c859611,,,,Unsought,Y,ENG,,S,,N,K,10,,,
0068613a-fcf,SCH7,2011-Dec-24 00:00:00,SUR2689,FOR1234,MID5079,PSUR9341,FSUR6393,08814da3-530,230829ac-6dc,22961961-b,F,2024-Dec-02 00:00:00,1,e10a05d3,390f5a08,780.0,,False,False,132.0,True,False,346820ef,,a4bdffb5,,,,,,ENG,,S,,C,K,13,,RU,
006a8cdc-33d,SCH5,2014-Jul-22 00:00:00,SUR4492,FOR6324,MID6592,PSUR7615,FSUR1186,d114e5d5-4dd,53b3d728-536,a001bcc9-d,M,2021-Jul-25 00:00:00,1,5bba2162,6827e6e3,752.0,True,False,False,137.0,False,False,f901fc01,,90b9f7aa,8.0,,True,"Sought, no reply",,ENG,,,,,,13,,RO,
006db8dd-913,SCH5,2008-Mar-30 00:00:00,SUR4562,FOR2545,MID2686,PSUR5850,FSUR8207,0881f708-9cb,6f5f9777-e63,a9ed8af9-9,F,2020-Feb-15 00:00:00,1,0f9919ca,44c4981c,781.0,False,False,False,128.0,False,False,85776bd9,,dc2f52e5,,,True,,,ENG,,F,,R,P,4,,,
