CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
924904,1,29/01/2000,BAFR,UN1,,
172204,1,01/07/2010,WROM,UN2,,
574280,1,16/07/2010,BCRB,E096236257764,,
402552,1,05/02/2008,WOTH,,,
904365,2,27/01/1999,ABAN,T087015900636,,
531609,1,,MWBC,E039690169570,,
821730,M,06/02/2012,ABAN,F046998402562,,
727808,2,02/05/2003,REFU,V085997025313,,
237931,2,19/11/2005,WROM,O098420081956,,
999780,2,22/05/2010,MWBA,U093862148184,,
244139,1,17/12/2004,BOTH,Q080849474021,,
258104,2,02/06/2002,MWAS,I068238698846,,
460957,U,04/07/2000,BCRB,J043403668364,,
588857,1,02/05/1999,BOTH,X098008423871,,
115507,2,15/08/2003,BCRB,I028439880472,,
681552,1,21/10/2000,WIRI,N069912425797,,
579259,1,16/05/2003,APKN,B076587311176,,
196054,2,22/01/1999,AOTH,U016658531420,,
,1,05/08/2005,APKN,Z048215127875,,
226973,1,16/06/1998,MWAS,D014474432856,,
755237,1,11/01/2002,MWBC,U034115457507,,
720700,2,27/03/2001,BCRB,D028425031721,,
153223,1,19/06/1999,BCRB,J006077416118,,
862590,1,11/05/2006,AOTH,T082062551950,,
607501,2,28/07/2005,ABAN,D027534459099,,
393368,1,28/04/2008,ABAN,I079727861757,,
250760,1,20/12/2003,,L084172330716,,
107737,2,29/08/2010,AIND,M099991315892,,
79797,,01/12/2002,MOTH,G022031813565,,
315766,1,02/03/2005,AIND,W066082136684,,
971572,1,16/07/2008,WBRI,P020696285502,,
20108,1,07/01/2002,WOTH,K044680660313,,
132644,2,15/03/2005,OOTH,F069351977927,,
833577,2,13/03/2000,BAFR,L009675628686,,
643171,2,20/01/2007,ABAN,G019682935394,,
708314,1,29/07/2000,AOTH,Q084403488959,,
790152,1,03/09/2010,AOTH,O053175168170,,
983121,1,22/11/2006,APKN,E052814057578,,
857040,1,26/11/2010,WIRI,K054568111140,,
732441,2,29/04/2003,APKN,F032093409028,,
,1,04/02/2002,APKN,S008834221279,,
240391,1,13/04/2006,NOBT,T033507112294,,
327393,2,04/05/2006,BCRB,B037491149958,,
47424,2,04/12/2010,BOTH,A078169208843,,
295569,2,24/11/2003,AOTH,M033196387941,,
266372,2,15/07/2008,OOTH,I039464829168,,
636474,1,05/08/2001,REFU,N086889068179,,
862576,1,04/08/2001,AIND,B015673903755,,
935888,2,11/07/2001,OOTH,Z087394040347,,
214975,2,10/08/2004,WIRT,M086033443267,,
98907,2,30/06/2005,WIRI,N023883917345,,
522571,2,08/08/2006,MWAS,A063968112633,,
