CHILD,SEX,DOB,DUC
THDGH,1,11/05/2006,06/05/2024
79797,2,01/12/2002,26/11/2020
643171,2,20/01/2007,15/01/2025
13805,1,16/01/2001,12/01/2019
974330,2,11/09/2010,06/09/2028
538016,2,15/01/2002,11/01/2020
250151,F,17/01/2009,13/01/2027
646265,1,04/02/2004,30/01/2022
903396,2,03/07/2011,28/06/2029
277412,2,29/05/1999,24/05/2017
943371,2,27/09/2002,22/09/2020
342788,U,02/06/2012,29/05/2030
512668,1,10/02/2001,06/02/2019
143787,1,16/07/2004,12/07/2022
587457,1,13/02/2009,09/02/2027
420729,M,11/12/2008,07/12/2026
411862,1,04/05/2004,30/04/2022
881785,2,06/06/1998,01/06/2016
108630,1,26/11/2002,21/11/2020
265739,1,12/09/2009,08/09/2027
481400,2,18/05/1998,13/05/2016
38377,2,19/12/2004,15/12/2022
89768,2,19/02/2006,15/02/2024
,2,15/08/2000,11/08/2018
448882,1,24/04/1998,19/04/2016
558390,2,04/03/2002,28/02/2020
729423,1,25/11/2002,20/11/2020
767932,2,30/10/2004,26/10/2022
840053,2,28/10/2011,23/10/2029
578631,2,20/05/1999,15/05/2017
83823,2,27/07/2003,22/07/2021
975460,2,25/01/2000,20/01/2018
820959,1,29/12/2006,24/12/2024
963250,2,15/03/2004,11/03/2022
106210,2,27/11/2007,22/11/2025
170710,1,06/12/2001,02/12/2019
531945,2,03/10/2010,28/09/2028
431123,2,13/09/2003,08/09/2021
154860,2,02/10/2001,28/09/2019
89265,1,02/09/2009,29/08/2027
782599,1,16/03/2003,11/03/2021
285087,1,16/04/1998,11/04/2016
22796,2,22/07/1999,17/07/2017
539356,2,25/03/2009,21/03/2027
738235,1,05/06/2003,31/05/2021
4232,1,09/11/2001,05/11/2019
,1,18/01/2011,13/01/2029
270045,2,23/08/2001,19/08/2019
816263,2,01/12/2007,26/11/2025
948311,2,27/04/2007,22/04/2025
426717,2,12/03/2003,07/03/2021
910015,1,22/02/2008,17/02/2026
520287,1,21/11/2012,17/11/2030
383450,1,21/04/2012,17/04/2030
569640,2,04/10/1998,29/09/2016
296872,2,25/10/2006,20/10/2024
314400,1,07/10/2007,02/10/2025
789998,2,17/11/2008,13/11/2026
767676,1,02/01/2002,29/12/2019
214498,2,30/03/2005,26/03/2023
824375,2,23/12/2008,19/12/2026
220300,2,29/07/2000,25/07/2018
667139,1,10/01/2002,06/01/2020
999068,2,26/12/2000,22/12/2018
151800,1,28/12/2011,23/12/2029
490760,2,18/01/2009,14/01/2027
427797,2,24/06/2005,20/06/2023
656010,,20/06/1999,15/06/2017
535471,2,06/12/2008,02/12/2026
605926,2,04/01/2008,30/12/2025
99724,1,29/10/2001,25/10/2019
563993,2,31/07/2004,27/07/2022
989765,2,12/01/2009,08/01/2027
415927,2,16/09/2010,11/09/2028
